id,meta,translation
20,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([38], dtype=uint32), 'hy': array([39], dtype=uint32)}}","{'fr': 'Salut à toi, baron de Cawdor !', 'hy': 'ովքե՞ր եք դուք:'}"
21,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([39], dtype=uint32), 'hy': array([40], dtype=uint32)}}","{'fr': 'Salut à toi, Macbeth qui sera roi !', 'hy': 'Փառք ու պատիվ, Մակբեթ. ողջույն քեզ, Գլամիսի թեն:'}"
22,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([40], dtype=uint32), 'hy': array([41], dtype=uint32)}}","{'fr': ""Au nom du Vrai, êtes-vous fantasmes ou telles que vous m'apparaissez ?"", 'hy': 'Փառք ու պատիվ քեզ, Մակբեթ. ողջույն Կավդորի թեն:'}"
23,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([41], dtype=uint32), 'hy': array([42], dtype=uint32)}}","{'fr': 'Mon noble compagnon, vous le saluez non seulement de son titre... mais encore de promesses.', 'hy': 'Ողջունում ենք քեզ, Մակբեթ, որ պիտի լինես արքա...'}"
24,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([42], dtype=uint32), 'hy': array([43], dtype=uint32)}}","{'fr': 'A moi, ne dites-vous rien ?', 'hy': 'Ճշմարիտն ասեք, ցնորք-պատրա՞նք եք դուք, թե՞ իսկապես հենց այն եք, ինչ որ արտաքուստ և կաք:'}"
25,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([43], dtype=uint32), 'hy': array([44, 45], dtype=uint32)}}","{'fr': 'Si vous lisez le germe du Temps... et savez dire quelle graine pousse, et laquelle avorte, à moi... qui ne mendie ni ne crains vos faveurs ni votre haine, parlez !', 'hy': 'Ազնվազարմ իմ ուղեկցին ողջունեցիք դուք ըստ իր ունեցած շնորհի, մեծամեծ գուշակությամբ նաև, որով նա արդեն իսկ տարվեց: Իսկ ինձ չասացիք ոչինչ:'}"
26,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([44, 45, 46], dtype=uint32), 'hy': array([46], dtype=uint32)}}","{'fr': 'Salut ! Salut ! Moins que Macbeth, et plus.', 'hy': 'Եվ եթե դուք կարող եք ժամանակի սերմերը կարդալ ու ասել, թե որը կաճի, և որը` ոչ, ապա խոսեք և ինձ:'}"
27,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([47, 48], dtype=uint32), 'hy': array([47], dtype=uint32)}}","{'fr': 'Moins heureux, plus heureux. Souche de rois, jamais roi.', 'hy': 'Ես ոչ ձեր անեծքից եմ երկնչում, ոչ էլ շնորհ եմ խնդրում:'}"
28,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([49], dtype=uint32), 'hy': array([48, 49], dtype=uint32)}}","{'fr': 'Salut, Macbeth et Banquo !', 'hy': 'Ողջունում ենք քեզ. Մակբեթից թեև պակաս ես, սակայն` մեծ ավելի:'}"
29,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([50, 51], dtype=uint32), 'hy': array([51], dtype=uint32)}}","{'fr': 'Ne partez pas sur ce discours inachevé ! Dites-en davantage !', 'hy': 'Գահի ժառանգ ծնող, սակայն, ոչ` գահակալ:'}"
30,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([52], dtype=uint32), 'hy': array([52, 53], dtype=uint32)}}","{'fr': 'Baron Glamis je suis, je sais.', 'hy': 'Փառք ու պատիվ, Մակբեթ և Բանքո: Կեցցեն Բանքոն ու Մակբեթը...'}"
31,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([53], dtype=uint32), 'hy': array([54], dtype=uint32)}}","{'fr': ""Mais d'où vient Cawdor ?"", 'hy': 'Կես խոսք ասող գուշակներ, դեռ կացեք.'}"
32,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([54], dtype=uint32), 'hy': array([55], dtype=uint32)}}","{'fr': ""D'où vient l'étrange nouvelle ?"", 'hy': 'մնացածն էլ հայտնեք:'}"
33,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([55], dtype=uint32), 'hy': array([56], dtype=uint32)}}","{'fr': 'Pourquoi nous arr\\code(011d)ter par ces saluts et prophéties 7.', 'hy': 'Սինելի մահով գիտեմ , որ Գլամիսի թենն եմ ես:'}"
34,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([56, 57], dtype=uint32), 'hy': array([58], dtype=uint32)}}","{'fr': 'Où ont-elles disparu ? Dans le vent.', 'hy': 'Որտեղի՞ց ձեզ տարօրինակ մտքերն այդ և ինչո՞ւ եք անիծյալ այս ցախուտի մեջ մեր ճամփան կտրում և մարգարեկան այդ խոսքերով մեզ ողջունում:'}"
35,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([58], dtype=uint32), 'hy': array([60], dtype=uint32)}}","{'fr': 'Ce qui semblait de chair a fondu, comme un souffle.', 'hy': 'Չքվեցին...'}"
36,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([60], dtype=uint32), 'hy': array([61], dtype=uint32)}}","{'fr': 'Ou avons-nous mangé la folle racine qui captive la raison ?', 'hy': 'Այն, որ թվում էր մարմնեղ ու նյութական` հողմի մեջ տարրալուծվեց շնչած օդի նման:'}"
37,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([61], dtype=uint32), 'hy': array([62], dtype=uint32)}}","{'fr': 'Tes fils seront rois.', 'hy': 'Արդյոք իրակա՞ն է այն, ինչի մասին խոսում ենք, թե՞ թունավոր մի արմտիք ենք կերել, որ մեր դատողությունն է բանտել:'}"
38,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([65], dtype=uint32), 'hy': array([66], dtype=uint32)}}","{'fr': 'Le baron de Cawdor vif foujours,', 'hy': 'Եվ թեն` Կավդորի, այդպե՞ս ասացին...'}"
39,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([68], dtype=uint32), 'hy': array([67], dtype=uint32)}}","{'fr': ""Aufanf qu'êfre baron de Cawdor,"", 'hy': 'Հենց այդ նույն խոսքերով ու միևնույն հնչմամբ:'}"
40,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([72], dtype=uint32), 'hy': array([70], dtype=uint32)}}","{'fr': ""Et t'escorter jusqu'à lui."", 'hy': 'Արքան ուրախությամբ ընդունեց լուրը քո հաղթանակի:'}"
41,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([73], dtype=uint32), 'hy': array([71], dtype=uint32)}}","{'fr': ""En acompte sur des honneurs plus grands... j'ai ordre de te saluer du titre de baron de Cawdor."", 'hy': 'Կարկտի պես` իրարու հետև, ամեն մի լուր քո գովքն արեց ու քեզ պատվեց որպես թագավորության մեծ պաշտպան:'}"
42,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([74], dtype=uint32), 'hy': array([72], dtype=uint32)}}","{'fr': 'Le diable peut donc dire le vrai ?', 'hy': 'Տեր արքան մեզ որպես բանբեր է ուղարկել, որ քեզ ոչ թե վարձատրենք, այլ իր մոտ առաջնորդենք:'}"
43,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([75, 76], dtype=uint32), 'hy': array([73], dtype=uint32)}}","{'fr': ""Ce baron est en vie. Pourquoi me vêtir de parures d'emprunt ?"", 'hy': 'Եվ ի նշան առավել հարգանքի` նա պատվիրեց կոչել քեզ` թեն Կավդորի:'}"
44,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([77, 78], dtype=uint32), 'hy': array([74], dtype=uint32)}}","{'fr': ""Il vit, mais une lourde sentence pèse sur sa vie, qu'il va perdre. Ses félonies, avouées et prouvées, l'ont abattu."", 'hy': 'Ինչպե՞ս թե, սատանան ճշմարտությո՞ւնն, ուրեմն, հայտնեց...'}"
45,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([79], dtype=uint32), 'hy': array([77], dtype=uint32)}}","{'fr': 'Baron de Glamis, ef de Cawdor !', 'hy': 'դավաճանություն ու դավադրություն` խոստովանած ու ապացուցված:'}"
46,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([82], dtype=uint32), 'hy': array([78], dtype=uint32)}}","{'fr': ""N'espères-tu pas pour tes fils ?"", 'hy': 'Գլամիս և թեն Կավդորի, իսկ մեծագույնը դեռ գալու է:'}"
47,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([83], dtype=uint32), 'hy': array([79], dtype=uint32)}}","{'fr': ""Celles qui m'ont donné Cawdor leur ont promis la royauté."", 'hy': 'Շնորհակալ եմ ձեր ջանքերի համար:'}"
48,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([84], dtype=uint32), 'hy': array([80], dtype=uint32)}}","{'fr': ""A trop t'y fier, tu risques de t'enflammer pour la couronne... après avoir reçu Cawdor."", 'hy': 'Դե, հիմա հույս ունե՞ս, թե որդիներդ արքաներ կլինեն.'}"
49,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([85], dtype=uint32), 'hy': array([82, 83], dtype=uint32)}}","{'fr': ""Pour nous mener à notre perte, Ie Mal sait nous dire le vrai... sur des babioles, et nous trahit pour l'essentiel."", 'hy': 'Թե դրան հավատանք, գահին նստելու տենչը պիտ զարթնի և Կավդորի թեն դառնալուն հաջորդի:'}"
50,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([86], dtype=uint32), 'hy': array([84], dtype=uint32)}}","{'fr': 'Les avances du supernafurel ne peuvenf êfre ni Mal... ni Bien ,:', 'hy': 'Հաճախ, մեզ կործանման տանելու համար` ծառաները չարի գայթակղում են ճշմարտությունն ասելով. մանրուքները մեզ ազնվորեն են հայտնում, սակայն, առավել մեծ գալիքի մեջ են դավում:'}"
51,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([87, 88], dtype=uint32), 'hy': array([85], dtype=uint32)}}","{'fr': ""si c'esf le Mal, pourquoi ceffe amorce de vérifé 7, Je suis baron de Cawdor."", 'hy': 'Գերբնական միջնորդությունն այս, ուրեմն, ոչ չարիք է ու ոչ էլ` բարիք:'}"
52,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([89], dtype=uint32), 'hy': array([86, 87], dtype=uint32)}}","{'fr': ""Si c'esf le bien, pourquoi suis-je séduif... par l'image qui me hérisse d'horreur... ef faif fressaillir mon coeur pourfanf si ferme ?"", 'hy': 'Թե չարիք է, ինչո՞ւ պիտի ճշմարտությամբ ինձ ավետեր լուրն իմ հաջողության: Ես թենն եմ Կավդորի:'}"
53,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([90], dtype=uint32), 'hy': array([88], dtype=uint32)}}","{'fr': ""La peur du réel faraude moins que l'horreur de l'imaginé,"", 'hy': 'Իսկ թե բարիք է` ինչո՞ւ եմ ես կառչած սոսկալի այն մտածումին, որից մազերս ցից-ցից են լինում և որից` սիրտս հանդարտ, հակառակ իր սովորույթի, կողերիս է զարկվում:'}"
54,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([91], dtype=uint32), 'hy': array([89], dtype=uint32)}}","{'fr': ""Mes pensées, où le meurfre n'esf encore que fanfasme... m'ébranlenf fanf... que l'acfion esf écrasée par la rêverie... et que seul existe ce qui n'est pas."", 'hy': 'Եվ ներկա ահը նվազ է, քան սահմռկելի գալիքի ահը:'}"
55,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([92], dtype=uint32), 'hy': array([90, 91], dtype=uint32)}}","{'fr': 'Merci, Messieurs.', 'hy': 'Սպանությունը թեև պատրանք է մտքի, սակայն, այնպես է ինձ ցնցում, որ ես ես խոկում-կռահումի մեջ եմ սուզվում: Եվ մտածումներս միայն մի բանի մասին են. այն, որ դեռ չկա:'}"
56,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([93], dtype=uint32), 'hy': array([92], dtype=uint32)}}","{'fr': 'Voyez comme notre compagnon est sous le charme.', 'hy': 'Շնորհակալ եմ, պարոններ:'}"
57,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([95], dtype=uint32), 'hy': array([93], dtype=uint32)}}","{'fr': 'Noble Macbeth, quand vous voudrez.', 'hy': 'Տես, մեր ուղեկիցը որքան է իրենով տարված:'}"
58,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([96], dtype=uint32), 'hy': array([94], dtype=uint32)}}","{'fr': 'Veuillez me pardonner.', 'hy': 'Եթե դիպվածն ուզում է ինձ նաև արքա դարձնել, ուրեմն, կլինի և այդ` առանց իմ ջանքի:'}"
59,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([97, 98], dtype=uint32), 'hy': array([95], dtype=uint32)}}","{'fr': 'Mon cerveau engourdi peinait sur choses oubliées. Rejoignons le Roi.', 'hy': 'Մեծարգո Մակբեթ, մենք քեզ ենք սպասում:'}"
60,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([100], dtype=uint32), 'hy': array([98], dtype=uint32)}}","{'fr': 'Rien dans sa vie ne fut seyant comme sa mort.', 'hy': 'Երկար օրեր արքային...'}"
61,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([103, 104], dtype=uint32), 'hy': array([99], dtype=uint32)}}","{'fr': ""L'étoffe d'un homme n'apparaît pas à son visage: sur ce gentilhomme je fondais une confiance totale."", 'hy': 'Մահն ավելի պատվաբեր եղավ, քան իր ապրած կյանքը:'}"
62,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([106], dtype=uint32), 'hy': array([104], dtype=uint32)}}","{'fr': ""J'ai pensé devoir te mander cette promesse... ma bien-aimée compagne de grandeur... afin que tu saches la grandeur qui t'est promise."", 'hy': '""Ողջույն քեզ, ապագա արքա:'}"
63,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([107, 108], dtype=uint32), 'hy': array([105], dtype=uint32)}}","{'fr': 'Place-la sur ton coeur, et porte-toi bien."" Glamis tu es, et Cawdor.', 'hy': 'Այս կամեցա հաղորդել քեզ մեծության իմ թանկագին ընկեր, որ անհաղորդ չմնաս այն մեծ շնորհին, որ քեզ է խոստացված:'}"
64,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([109], dtype=uint32), 'hy': array([106], dtype=uint32)}}","{'fr': ""Et tu seras tout ce qui t'est promis."", 'hy': 'Պահիր այն սրտիդ մեջ ու մնաս բարով:'}"
65,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([110], dtype=uint32), 'hy': array([107], dtype=uint32)}}","{'fr': 'Mais je crains fa nafure... frop faife de bonfé humaine pour prendre le raccourci,', 'hy': 'Գլամիս և Կավդոր ես.'}"
66,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([111], dtype=uint32), 'hy': array([108], dtype=uint32)}}","{'fr': ""La grandeur f'affire,"", 'hy': 'կլինես և այն, ինչ խոստացվեց'}"
67,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([112, 113], dtype=uint32), 'hy': array([109], dtype=uint32)}}","{'fr': ""Tu ne manques pas d'ambifion, mais de la méchancefé nécessaire, Ton buf, en foufe purefé fu veux l'affeindre,"", 'hy': 'Սակայն, երկյուղում եմ ես նրա էությունից, որ բարության կաթով է լեցուն և կարճ ճամփան չի նշմարում:'}"
68,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([114, 115], dtype=uint32), 'hy': array([110], dtype=uint32)}}","{'fr': ""L'injusfe, fu le veux immaculé, Viens à moi, que je déverse ma vaillance dans fon oreille,"", 'hy': 'Դու մեծ կարող ես լինել և պատվախնդրություն ունես, սակայն, զուրկ ես խարդախ չարությունից, որ փափագիդ օժանդակի:'}"
69,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([116], dtype=uint32), 'hy': array([111], dtype=uint32)}}","{'fr': 'Noble cousin !', 'hy': 'Բարձր ես ուզում լինել, բայց `սրբությամբ. ուզում ես անխարդախ խաղալ սակայն, անիրավ է խաղն այդպես շահել:'}"
70,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([117, 118], dtype=uint32), 'hy': array([112], dtype=uint32)}}","{'fr': ""Le péché de mon ingratitude m'accablait. Je ne puis te dire que ceci:"", 'hy': 'Շտապիր ինձ մոտ, որ կարենամ իմ ոգին ու բառերն ականջդ լցնել:'}"
71,"{'year': 1971, 'imdbId': 67372, 'subtitleId': {'fr': 3693493, 'hy': 6711716}, 'sentenceIds': {'fr': array([119], dtype=uint32), 'hy': array([113], dtype=uint32)}}","{'fr': 'plus te revient que ne puis dire.', 'hy': 'Ողջույն քեզ, Մակբեթ, ողջույն, թեն Կավդորի:'}"
