id,meta,translation
10,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([15], dtype=uint32), 'eo': array([19], dtype=uint32)}}","{'bs': 'Čuo sam samo jedan pucanj.', 'eo': 'Tio dependas de rapideco, fileto!'}"
11,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([16], dtype=uint32), 'eo': array([20], dtype=uint32)}}","{'bs': 'U pitanju je brzina sine.', 'eo': 'Paĉjo, ĉu estas iu pli rapida ol li?'}"
12,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([17], dtype=uint32), 'eo': array([21], dtype=uint32)}}","{'bs': '-Tata, zar ntiko nije brži od njega?', 'eo': 'Pli rapida ol li?'}"
13,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([18], dtype=uint32), 'eo': array([22], dtype=uint32)}}","{'bs': '-Brži od njega?', 'eo': 'Neniu!'}"
14,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([19], dtype=uint32), 'eo': array([23], dtype=uint32)}}","{'bs': 'Nitko.', 'eo': 'MIA NOMO ESTAS NENIU'}"
15,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([20], dtype=uint32), 'eo': array([25], dtype=uint32)}}","{'bs': 'Red...', 'eo': 'Tro malfrue, amiko...'}"
16,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([22, 23], dtype=uint32), 'eo': array([27], dtype=uint32)}}","{'bs': 'Tko ti je to uradio? Ti...', 'eo': 'Vi... ĉar vi decidis min trovi...'}"
17,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([24], dtype=uint32), 'eo': array([28], dtype=uint32)}}","{'bs': 'Kad si prvi put počeo da me tražiš.', 'eo': 'Kie estas Nevada?'}"
18,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([25], dtype=uint32), 'eo': array([29], dtype=uint32)}}","{'bs': 'Gdje je Nevada?', 'eo': 'Bone kaŝita en Acoma...'}"
19,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([26], dtype=uint32), 'eo': array([30], dtype=uint32)}}","{'bs': 'Krije se u Akomi.', 'eo': 'li ne foriros el tie.'}"
20,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([28], dtype=uint32), 'eo': array([32, 33], dtype=uint32)}}","{'bs': 'Šta si ti ovdje radio?', 'eo': 'Kie mi povas trovi tiujn? - Iru...'}"
21,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([29], dtype=uint32), 'eo': array([34], dtype=uint32)}}","{'bs': 'Tko te je upucao?', 'eo': '- Kien?'}"
22,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([32, 33], dtype=uint32), 'eo': array([36], dtype=uint32)}}","{'bs': 'idi u 3 lijepe. Ti i samo ti si odgovoran meni i mojim ljudima da zlato bude legalno.', 'eo': 'Vi, kaj vi sola Sullivan, estas responsa al mi ... kaj miaj homoj pri leĝeco de tiu ĉi oro.'}"
23,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([34, 35], dtype=uint32), 'eo': array([38], dtype=uint32)}}","{'bs': 'Umjesto toga, Sullivan, ti ideš i rješavaš osobne probleme. Ostavljaš trag mrtvim tijelima, širom države.', 'eo': 'Vi estas disŝutanta kadavrojn en la tuta ŝtato lasante spuron spuron, kiu kondukas ĝuste tien ĉi.'}"
24,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([36], dtype=uint32), 'eo': array([39, 40], dtype=uint32)}}","{'bs': 'Trag koji vodi ravno ovdje.', 'eo': 'Jack Beauregard? - Jack Beauregard, ja li!'}"
25,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([37], dtype=uint32), 'eo': array([41], dtype=uint32)}}","{'bs': 'Jack Borgard...', 'eo': 'Ni pagas vin ĉar vi estas respektinda!'}"
26,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([38, 39], dtype=uint32), 'eo': array([42], dtype=uint32)}}","{'bs': 'Platili smo ti jer si povjerljiv. Gospodin koji je našao novu zlatnu žicu.', 'eo': 'Bonŝanca honestulo, kiu aĉetis elĉerpitan minejon kaj trovis novan oran vejnon.'}"
27,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([40], dtype=uint32), 'eo': array([44, 45], dtype=uint32)}}","{'bs': 'Ali svaka sumnja koja padne na tebe, pada i na zlato.', 'eo': 'Pro kiu vi timas? Mi eĉ povus krii al ĉiuj: sinjoroj, tiu estas mirakla minejo!'}"
28,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([42], dtype=uint32), 'eo': array([46], dtype=uint32)}}","{'bs': 'Imaš sve tamo gdje si ih želio.', 'eo': 'Minejo kiu funkcias inverse.'}"
29,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([43, 44], dtype=uint32), 'eo': array([47], dtype=uint32)}}","{'bs': 'Mogu da pogodim istinu sa krova. Mogu da dovedem šerifa i da mu kažem:', 'eo': 'Mi povus porti la ŝerifon tien ĉi kaj diri al li, ... ke mi miksas la trovitan mineralon kun tiu ŝtelita oro alie nur ŝtonoj elirus tie!'}"
30,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([45], dtype=uint32), 'eo': array([48, 49], dtype=uint32)}}","{'bs': '""Slušaj, da nismo dodali ukradeno zlato, u jezgro ovaj rudnik bi proizvodio samo kamen.""', 'eo': 'Mi povus krii tiun en placo! Sed neniu kredus al mi.'}"
31,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([46, 47], dtype=uint32), 'eo': array([50], dtype=uint32)}}","{'bs': 'Mogu čak i da mu pokažem... I nitko mi ne bi povjerovao.', 'eo': 'Ĉiuj blindiĝus kaj surdiĝus.'}"
32,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([48], dtype=uint32), 'eo': array([51], dtype=uint32)}}","{'bs': 'I svi bi bili slijepi i gluhi.', 'eo': 'Sed ili ne mutiĝus!'}"
33,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([49], dtype=uint32), 'eo': array([52], dtype=uint32)}}","{'bs': 'Ali ne glupi.', 'eo': 'La onidiroj kuras, Sullivan kaj baldaŭ alvenos tien, kie la timo ne alveneblas!'}"
34,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([50], dtype=uint32), 'eo': array([53], dtype=uint32)}}","{'bs': 'Priča kruži, a ona ima dar da ide na mjesta bez ikakvog straha.', 'eo': 'Necesas, ke mineralo de tiu minejo estu rafinata LAŬLEĜE!'}"
35,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([51], dtype=uint32), 'eo': array([54], dtype=uint32)}}","{'bs': 'Ruda koja izađe iz rudnika, mora da se smatra legalnom.', 'eo': 'Ne malpurigu viajn manojn, Sullivan.'}"
36,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([53], dtype=uint32), 'eo': array([55, 56], dtype=uint32)}}","{'bs': 'Ali, ako ja ne ubijem Borgarda prvi, on će ubiti mene.', 'eo': 'Tamen mi devas mortigi Beauregard, alie li mortigos min. Ja, vere!'}"
37,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([55], dtype=uint32), 'eo': array([58], dtype=uint32)}}","{'bs': 'Dvije stvari idu pravo čovjeku u srce.', 'eo': 'la kugloj... kaj la oro!'}"
38,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([56], dtype=uint32), 'eo': array([59], dtype=uint32)}}","{'bs': 'Meci i zlato.', 'eo': 'Ĉu vi intencas diri, ke mi devus kloplodi aĉeti lin?'}"
39,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([57], dtype=uint32), 'eo': array([60, 61], dtype=uint32)}}","{'bs': 'Govoriš mi da kupim Jacka Borgarda?', 'eo': '- Kial ne? Vi estas aĉetita, ĉu?'}"
40,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([58], dtype=uint32), 'eo': array([62, 63], dtype=uint32)}}","{'bs': 'Zašto da ne?', 'eo': 'Eĉ Jack Beauregard havas sian prezon! Eblas aŭ mortigi aŭ aĉeti lin!'}"
41,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([59, 60], dtype=uint32), 'eo': array([64], dtype=uint32)}}","{'bs': 'Kupili smo tebe. Kupi ga ili ga ubij.', 'eo': 'Sed vi devas agi tuj!'}"
42,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([61], dtype=uint32), 'eo': array([65], dtype=uint32)}}","{'bs': 'Ali učini to brzo!', 'eo': 'Tuj!'}"
43,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([64], dtype=uint32), 'eo': array([67], dtype=uint32)}}","{'bs': 'Hej, spremi mi 20 potkovica.', 'eo': 'Aldonu ankaŭ 20-on el tiuj ĉi!'}"
44,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([65], dtype=uint32), 'eo': array([68], dtype=uint32)}}","{'bs': '-Hoće li trajati šta duže?', 'eo': 'Vi, finu rapide!'}"
45,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([66], dtype=uint32), 'eo': array([69], dtype=uint32)}}","{'bs': '-Ne, neće.', 'eo': 'Rigardu, kiajn aĉaĵojn oni vendas.'}"
46,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([67], dtype=uint32), 'eo': array([70], dtype=uint32)}}","{'bs': 'Nema ništa osim otpada ovdje.', 'eo': 'Kiu aĉetus tiun ĉi?'}"
47,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([68, 69], dtype=uint32), 'eo': array([71], dtype=uint32)}}","{'bs': 'Pogledaj ovo... Tko će ovo da kupi?', 'eo': 'Kaj tiun ĉi?'}"
48,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([70], dtype=uint32), 'eo': array([72], dtype=uint32)}}","{'bs': 'I ovo?', 'eo': 'Ĉi tie estas ankaŭ rompita ŝuo!'}"
49,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([72], dtype=uint32), 'eo': array([74], dtype=uint32)}}","{'bs': 'Hej, ti...', 'eo': 'Hej, de kie aperis tiu ĉi?'}"
50,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([74], dtype=uint32), 'eo': array([76, 77], dtype=uint32)}}","{'bs': 'Šta ti radiš tamo?', 'eo': '- Mi dormis! - Tiu ĉi ne estas hotelo!'}"
51,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([76], dtype=uint32), 'eo': array([78], dtype=uint32)}}","{'bs': '-Ovo ti nije hotel.', 'eo': '- Kion vi serĉas tie ĉi?'}"
52,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([79], dtype=uint32), 'eo': array([82], dtype=uint32)}}","{'bs': 'Hej, neka prvo plati.', 'eo': 'Kial?'}"
53,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([81], dtype=uint32), 'eo': array([83], dtype=uint32)}}","{'bs': 'Jer mi ne izgledaš na nekog tko će da živi dovoljno dugo da bi dobio kredit.', 'eo': 'Ĉar vi havas la vizaĵon de ulo, kiu estos mallonge vivanta!'}"
54,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([82, 83], dtype=uint32), 'eo': array([85], dtype=uint32)}}","{'bs': 'Kuda ćeš? Tajna dugog života je, ne pokušavati da ga skratiš.', 'eo': 'La sola maniero por longigi sian vivon estas klopodi ne mallongigi ĝin.'}"
55,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([84], dtype=uint32), 'eo': array([86], dtype=uint32)}}","{'bs': 'Hej, čekaj malo.', 'eo': 'Hej, atendu, eble mi donos al vi ĉevalon!'}"
56,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([85], dtype=uint32), 'eo': array([87, 88], dtype=uint32)}}","{'bs': 'Možda ti ja mogu nabaviti konja.', 'eo': '- Ĉu vere? - Certe!'}"
57,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([86, 87], dtype=uint32), 'eo': array([89], dtype=uint32)}}","{'bs': '-Stvarno? -Naravno, ali mi prvo moraš učiniti malu uslugu.', 'eo': 'Sed vi devas fari ion por mi.'}"
58,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([89], dtype=uint32), 'eo': array([92], dtype=uint32)}}","{'bs': 'U salonu je jedan moj prijatelj.', 'eo': 'En tiu trinkejo estas amiko de mi portu al li tion ĉi.'}"
59,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([90], dtype=uint32), 'eo': array([93], dtype=uint32)}}","{'bs': 'Ti mu odnesi košaru.', 'eo': 'Kiam vi revenos, mi donos al vi ĉevalon!'}"
60,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([91, 92], dtype=uint32), 'eo': array([94], dtype=uint32)}}","{'bs': 'Kada se vratiš, ja ću ti naći konja. Taj tvoj prijatelj...', 'eo': 'Ĉu via amiko... estas Jack Beauregard?'}"
61,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([93], dtype=uint32), 'eo': array([95], dtype=uint32)}}","{'bs': 'Je li on Jack Borgard?', 'eo': 'Ah, ne!'}"
62,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([94], dtype=uint32), 'eo': array([96], dtype=uint32)}}","{'bs': 'Dogovor je dogovor.', 'eo': 'Interkonsentoj estas neŝanĝeblaj!'}"
63,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([95, 96], dtype=uint32), 'eo': array([98], dtype=uint32)}}","{'bs': '-Znači konja? -Naravno sinko, najboljeg.', 'eo': '- Certe, junulo, la plej bonan!'}"
64,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([97], dtype=uint32), 'eo': array([100], dtype=uint32)}}","{'bs': '-Namirisao sam grah i slaninu, Bonita?', 'eo': 'La fazeoloj estas por la triopo ekstere!'}"
65,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([98, 99], dtype=uint32), 'eo': array([101], dtype=uint32)}}","{'bs': '-Tako je, spremam ga za onu trojicu napolju. Onda ga daj meni.', 'eo': 'Do, donu ilin al mi... ĉar tiuj baldaŭ ne plu estos malsataj.'}"
66,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([101], dtype=uint32), 'eo': array([104, 105], dtype=uint32)}}","{'bs': 'Je li brod još tamo?', 'eo': 'Sundowner post 16 tagoj - PUNKTO ""'}"
67,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([102], dtype=uint32), 'eo': array([106], dtype=uint32)}}","{'bs': '16 dana do plovidbe... stop.', 'eo': '"" Nepras pago 500 dolarojn por konfirmo je rezervigo'}"
68,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([103], dtype=uint32), 'eo': array([107, 108], dtype=uint32)}}","{'bs': 'Morate poslati 500 dolara da bi potvrdili rezervaciju... stop.', 'eo': '- PUNKTO "" Mi estas ankoraŭ en kontakto kun Nov-Orleano, sinjoro.'}"
69,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([104], dtype=uint32), 'eo': array([110], dtype=uint32)}}","{'bs': 'Šta da kažem New Orleansu, gospodine?', 'eo': 'Restas ankoraŭ 16 tagoj.'}"
70,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([105], dtype=uint32), 'eo': array([111], dtype=uint32)}}","{'bs': 'Da ima još uvijek 16 dana.', 'eo': '16 tagoj estas malmultaj eĉ por homo kiel vi.'}"
71,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([106, 107], dtype=uint32), 'eo': array([112], dtype=uint32)}}","{'bs': '16 dana i nije baš tako dugo. Čak i za nekog kao što ste vi.', 'eo': 'Se ankaŭ vi foriras, kiu restos al ni?'}"
72,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([108], dtype=uint32), 'eo': array([113, 114], dtype=uint32)}}","{'bs': 'Ako vi odete tko će da ostane?', 'eo': '... Neniu! Iafoje ĉesigi estas pli malfacile ol komenci.'}"
73,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([110, 111], dtype=uint32), 'eo': array([115], dtype=uint32)}}","{'bs': 'Možda je tako, ali čovjek mora nekad da prestane. Da, ponekad...', 'eo': 'Ĉesigi estas juste, sed homo kiel vi devas fini plej glore!'}"
74,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([112], dtype=uint32), 'eo': array([116], dtype=uint32)}}","{'bs': 'Ali netko poput vas treba da ode sa stilom.', 'eo': 'Ĉu vi venis nur por diri al mi tion?'}"
75,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([113], dtype=uint32), 'eo': array([117], dtype=uint32)}}","{'bs': 'Došao si ovdje samo da bi mi to rekao?', 'eo': 'Ha... ne!'}"
76,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([115], dtype=uint32), 'eo': array([119], dtype=uint32)}}","{'bs': 'Za mene?', 'eo': 'Laŭ vi, kio estas en ĝi?'}"
77,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([116], dtype=uint32), 'eo': array([120], dtype=uint32)}}","{'bs': 'Šta misliš da je unutra?', 'eo': 'Laŭ mi estas bombo.'}"
78,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([118], dtype=uint32), 'eo': array([122], dtype=uint32)}}","{'bs': 'Mislim da si u pravu.', 'eo': 'Kiu sendis ĝin?'}"
79,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([119], dtype=uint32), 'eo': array([123], dtype=uint32)}}","{'bs': 'Tko je šalje?', 'eo': 'Tri uloj neŝercemaj... nur tri!'}"
80,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([120], dtype=uint32), 'eo': array([124], dtype=uint32)}}","{'bs': 'Ona 3 momka napolju.', 'eo': '- Nur... ?'}"
81,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([121, 122], dtype=uint32), 'eo': array([125], dtype=uint32)}}","{'bs': 'Ah, samo tri. -Samo?', 'eo': '- Certe, kiel en El Paso.'}"
82,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([124, 125], dtype=uint32), 'eo': array([127], dtype=uint32)}}","{'bs': '5. ožujka 1882. Billy Maison, john Murray... i Fred Carson.', 'eo': 'Jack Mason, Janmarie, Fred Carsol.'}"
83,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([126], dtype=uint32), 'eo': array([131], dtype=uint32)}}","{'bs': '82-a je jedna od tvojih najboljih godina.', 'eo': '- Kial vi portis ĝin?'}"
84,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([127], dtype=uint32), 'eo': array([132], dtype=uint32)}}","{'bs': 'U travnju...', 'eo': '- Pro ĉevalo...'}"
85,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([128, 129, 130], dtype=uint32), 'eo': array([133], dtype=uint32)}}","{'bs': '-Zašto si mi ovo donio? -Zbog konja. Kao što sam rekao...', 'eo': 'Kiel mi dirantis... en aprilo en Albuquerque...'}"
86,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([131], dtype=uint32), 'eo': array([134, 135], dtype=uint32)}}","{'bs': 'U travnju u Alburqerkiju, četvorica.', 'eo': 'Kvaropon! Jackson, Johnson Moordok kaj Champion.'}"
87,"{'year': 1973, 'imdbId': 70215, 'subtitleId': {'bs': 6080330, 'eo': 4010963}, 'sentenceIds': {'bs': array([132], dtype=uint32), 'eo': array([136], dtype=uint32)}}","{'bs': 'Jackson, Johnson, Murdock i Champion.', 'eo': 'Do, kiom da ĉevaloj vi volas por reporti ĝin al ili?'}"
